2015-0001	調査・統計・報告	調査・統計	平成１６年度学校基本調査	2004年度	移管	総務部評価・広報課広報・社会連携グループ	総務部	広報・社会連携課		2015.04.01	公文書室	A	1	紙	無	全部利用	A4	総務部広報・社会連携課長
2015-0002	学内会議	会議	平成20年度～平成21年度１30年統括本部会合	2008年度	移管	130年事業事務室事業運営グループ	総務部	基金室		2015.04.01	公文書室	A	1	紙	無	要審査	A4	基金室長
2015-0003	会議	学外会議	清華大学との合同プログラム平成１６年度	2004年度	移管	学務部留学生課企画交流係	国際部	留学生交流課		2015.04.01	公文書室	A	1	紙	無	要審査	A4	留学生交流課長
2015-0004	教育実施	赴日予備教育	赴日予備教育	2004年度	移管	研究協力部国際事業課国際事業第2係	国際部	留学生交流課		2015.04.01	公文書室	A	1	紙	無	要審査	A4	留学生交流課長	受入時2分冊に
2015-0005	財団手島工業教育資金団	手島工業教育資金団	大正6年9月以降理事会重要書類	1917年度	移管	東京工業大学研究推進部研究企画課総務・管理GP（手島財団）	研究推進部	研究企画課		2015.04.01	公文書室	A	1	紙	無	要審査	A4	研究企画課長	要補修のため事務室に別置、最新文書は昭和７年の日付
2015-0006	学内会議	VBL・INC運営委員会	VBL・INC運営委員会（平成7年度～16年度）	1995年度	移管	研究協力部研究協力課産学官連携掛	研究推進部	産学連携課		2015.04.01	公文書室	A	1	紙	無	要審査	A4	産学連携課長
2015-0007	教育実施	赴日予備教育	赴日予備教育	2003年度	移管	研究協力部国際事業課国際事業第2係	国際部	留学生交流課		2015.04.01	公文書室	A	2	紙	無	要審査	A4	留学生交流課長	受入時にファイル交換
2015-0008			学内関係書類綴 昭和6年度	1931	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	28cm	博物館長
2015-0009			学内関係書類綴 昭和7年度	1932	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	29cm	博物館長
2015-0010			学内関係書類綴 昭和8年度	1933	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	29cm	博物館長
2015-0011			学内関係書類綴 昭和9年度	1934	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	29cm	博物館長
2015-0012			学内関係書類綴 昭和10年度	1935	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	29cm	博物館長
2015-0013			学内関係書類綴 昭和11年度	1936	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	28cm	博物館長
2015-0014			学内関係書類綴 昭和12年度	1937	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	26cm	博物館長
2015-0015			学内関係書類綴 昭和13年度	1938	移管	学生課	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	26cm	博物館長
2015-0016			学内関係書類綴 　乙　昭和15年度	1940	移管	学生部学生掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	26cm	博物館長
2015-0017			学内関係　教務課 昭和15年度	1940	移管	学生部学生掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	26cm	博物館長
2015-0018			学内関係書類 昭和16年度	1941	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	26cm	博物館長
2015-0019			学内関係書類綴 昭和17年度	1942	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	27cm	博物館長
2015-0020			学内関係書類綴 昭和18年度	1943	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	27cm	博物館長
2015-0021			学内関係書類綴 昭和19年度	1944	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	2	紙	有	要審査	27cm	博物館長
2015-0022			学内関係　昭和20年度	1945	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	25cm	博物館長
2015-0023			学内関係 昭和21年度	1946	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	25cm	博物館長
2015-0024			学内関係 昭和22年度	1947	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	28cm	博物館長
2015-0025	通知		文部省往復文書綴 昭和18年度　丙	1943	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	26cm	博物館長
2015-0026	通知		文部省往復文書綴 昭和19年度　甲	1944	移管	学生部	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0027	通知		文部省往復文書綴 昭和20年度　（一）	1945	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	25cm	博物館長
2015-0028	通知		文部省往復文書綴 昭和21年度	1946	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	25cm	博物館長
2015-0029	通知		諸官公署･他向往復文書綴 昭和19年度	1944	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0030	通知		教務課他向関係書類綴 昭和27年度	1952	移管	教務部教務課教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0031	通知		昭和二十年以降　訓令及指令綴　マッカーサー指令部関係	1945	移管	電気化学科	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	28cm	博物館長
2015-0032			昭和二十年度以降　雑書通牒綴　電気化学科	1945	移管	電気化学科	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	28cm	博物館長
2015-0033			教務関係資料　昭和２０年度	1945	移管	学生部教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0034	学内会議	教授会	教授会議議事要録 昭和17.1-昭和21.2   （二）	1946	移管	総務部　学務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0035	学内会議	教授会	教授会議議事要録 昭和21.3-昭和25.2	1950	移管	総務部　学務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	28cm	博物館長
2015-0036	学内会議	運営委員会	運営委員会議事要録 昭和23-昭和27	1953	移管	[東京工業大学]	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長	原本から作成部局特定できず
2015-0037			官制改正資料　昭和１９年	1944	移管	[東京工業大学]	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長	原本から作成部局特定できず
2015-0038			官制改正　生産工業研究所　窯業研究所　昭和１６年	1941	移管	生産工業研究所　窯業研究所	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長
2015-0039			雑　昭和21-22	1947	移管	[東京工業大学]	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	27cm	博物館長	原本から作成部局特定できず
2015-0040			東京工業大学光亜會海外旅行會記録　昭和６年実施	1931	移管	学生課	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	28cm	博物館長
2015-0041			夏期実修関係書類　大正１４年７月	1925	移管	東京高等工業学校教務掛	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	30ｃｍ	博物館長
2015-0042			外国品購入ニ関スル通牒	[1927]	移管	電気工学科	博物館			2015.04.01	公文書室	A	3	紙	有	要審査	29cm	博物館長	作成年度は昭和２年頃～昭和１２年頃とのメモによる
