識別番号	分類		法人文書ファイル名	作成又は取得年度	受入方法	作成又は取得者	移管元			受入年月日	保存場所			媒体の種別	利用可能な複製物	利用制限の区分	サイズ	旧管理者	備考
	大分類	中分類					部局１	部局2	部局3		書庫名	書架番号	棚番号						
2016-0001	調査・統計・報告	調査・統計	平成１７年度学校基本調査	2004年度	移管	"総務部評価・広報課
広報・社会連携係"	総務部	広報・社会連携課		2016.04.01	公文書室	A	4	紙	無	全部利用	A4	総務部広報・社会連携課長	
2016-0002	概算要求	収入・支出概算要求に関する文書	平成18年度収入・支出概算要求に関する文書	2005年度	移管	東京工業大学財務部主計課予算係	財務部	主計課		2016.04.01	公文書室	A	4	紙	無	全部利用	A4	主計課長	
2016-0003	会議	学外会議	清華大学との合同プログラム平成１7年度	2005年度	移管	学務部留学生課企画交流係	国際部	留学生交流課		2016.04.01	公文書室	A	4	紙	無	要審査	A4	留学生交流課長	
2016-0004	教育実施	赴日予備教育	赴日予備教育	2005年度	移管	研究協力部国際事業課国際事業第2係	国際部	留学生交流課		2016.04.01	公文書室	A	4	紙	無	要審査	A4	留学生交流課長	
2016-0005	調査・統計・諸報告	国立学校施設実態調査報告書	昭和60年度国立学校施設実態調査報告書	1985年度	移管	施設部企画課企画掛	施設運営部	施設総合企画課		2016.04.01	公文書室	A	4	紙	無	全部利用	A4	施設総合企画課長	
2016-0006	東日本大震災関係	東日本大震災関係	東日本大震災（文科省）関係　平成22-23年度	2010年度	移管	施設総合企画課総務・契約GP	施設運営部	施設総合企画課		2016.04.01	公文書室	A	4	紙	無	要審査	A4	施設総合企画課長	東日本大震災関連を含む。
2016-0007			教練實施状況報告　昭和４年度	1929	移管	"東京工業大学兼附属工学専門部/附属工業教員養成所
配属将校陸軍工兵中佐　松岡尚道"	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	28cm	博物館長	
2016-0008			教練實施状況報告　昭和５年度	1930	移管	"東京工業大学兼附属工学専門部/附属工業教員養成所
配属将校陸軍工兵中佐　松岡尚道"	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0009	会議	学内会議	刊行物委員会記録	[1949-1960]	移管	[研究協力課]刊行物委員会	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	28cm	博物館長	
2016-0010	会議	学内会議	コース委員会　	1949-1953	移管	[コース委員会]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0011			中央労働学園関係	1946	移管	[東京工業大学]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	28cm	博物館長	
2016-0012			大学経営ニ関スル調査資料 第一輯 四年七月	1929	移管	東京工業大学	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0013			大学経営ニ関スル調査資料 第二輯　五年五月	1930	移管	東京工業大学	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	28cm	博物館長	
2016-0014			大学経営ニ関スル調査資料 第三輯　五年五月	1930	移管	東京工業大学	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0015			研究事項ニ関スル参考書類	[1928-1933]	移管	[東京工業大学]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	取得年の最終は「モータシップ第6巻の刊行年から推測
2016-0016			[昇格ニ関スル資料]	[1921]	移管	[東京工業大学]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	蔵前工業会誌205号（大11.1.1発行）の記事他
2016-0017	会議	学内会議	建築設備委員会関係	[1946-1951]	移管	[建築設備委員会]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0018			臨時工師養成部生徒募集等二関スル件	1938	移管	[東京工業大学]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0019			附属予備部、臨時工業技術員養成所　入学関係書類綴　昭和１８年	1943	移管	[教務課]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0020			日誌 昭和７年３月 東京工業大学学生課	1932	移管	学生課	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0021			日誌 昭和９年５月以降 	1934	移管	学生課	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
2016-0022			日誌 昭和１２年６月	1937	移管	[学生課]	博物館			2016.04.01	公文書室	A	5	紙	有	要審査	29cm	博物館長	
